Movie Name,Movie Time,Movie Rating,Movie Image
1. The Shawshank Redemption,1994,9.3,/title/tt0111161/?ref_=chttp_i_1
2. The Godfather,2h 22m,9.2,/title/tt0068646/?ref_=chttp_i_2
3. The Dark Knight,R,9.0,/title/tt0468569/?ref_=chttp_i_3
4. The Godfather Part II,1972,9.0,/title/tt0071562/?ref_=chttp_i_4
5. 12 Angry Men,2h 55m,9.0,/title/tt0050083/?ref_=chttp_i_5
6. The Lord of the Rings: The Return of the King,R,9.0,/title/tt0167260/?ref_=chttp_i_6
7. Schindler's List,2008,9.0,/title/tt0108052/?ref_=chttp_i_7
8. Pulp Fiction,2h 32m,8.9,/title/tt0110912/?ref_=chttp_i_8
9. The Lord of the Rings: The Fellowship of the Ring,PG-13,8.9,/title/tt0120737/?ref_=chttp_i_9
"10. The Good, the Bad and the Ugly",1974,8.8,/title/tt0060196/?ref_=chttp_i_10
11. Forrest Gump,3h 22m,8.8,/title/tt0109830/?ref_=chttp_i_11
12. The Lord of the Rings: The Two Towers,R,8.8,/title/tt0167261/?ref_=chttp_i_12
13. Fight Club,1957,8.8,/title/tt0137523/?ref_=chttp_i_13
14. Inception,1h 36m,8.8,/title/tt1375666/?ref_=chttp_i_14
15. Star Wars: Episode V - The Empire Strikes Back,Approved,8.7,/title/tt0080684/?ref_=chttp_i_15
16. The Matrix,2003,8.7,/title/tt0133093/?ref_=chttp_i_16
17. Goodfellas,3h 21m,8.7,/title/tt0099685/?ref_=chttp_i_17
18. One Flew Over the Cuckoo's Nest,PG-13,8.7,/title/tt0073486/?ref_=chttp_i_18
19. Interstellar,1993,8.7,/title/tt0816692/?ref_=chttp_i_19
20. Se7en,3h 15m,8.6,/title/tt0114369/?ref_=chttp_i_20
